Method,Watermark_Status,Task_ID,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,MAPE_Mean,MAPE_Std,SNR_Mean,SNR_Std,N_Trials
FactorizePhys,ORIGINAL,2,2.44140625,1.0033225916290651,3.875612272067271,2.8798117089054323,3.834660179861418,1.499052915704093,0.7940051494245659,0.9428387947694131,9
FactorizePhys,ORIGINAL,3,0.087890625,0.08338036799272093,0.27793455997573646,0.27070930267743365,0.15384615384615385,0.14595127662315596,4.533129740349935,0.7535668843735185,10
FactorizePhys,ORIGINAL,4,0.3515625,0.2901721995565871,0.9826470604247123,0.9465054606781428,0.3016202742002493,0.22977264025099126,2.3586640228314475,0.7257682714703017,10
FactorizePhys,ORIGINAL,5,0.615234375,0.5836625759490466,1.9455419198301553,1.8949651187420355,0.958904109589041,0.9096963131991227,4.01192611605655,0.7541029299555799,10
FactorizePhys,ORIGINAL,6,0.17578125,0.11117382399029457,0.3930588241698849,0.3125881775459044,0.29676071055381403,0.1935534660474221,4.105698340093948,0.8192925852852665,10
FactorizePhys,WATERMARKED,1,40.341796875,7.168826184454121,46.275060926301435,25.712061007319168,71.30822549701006,15.946140454412443,-6.930152621436254,0.41189822775449253,10
FactorizePhys,WATERMARKED,2,39.94140625,8.887374537006094,48.02275261453427,29.412790480873326,66.83231299314713,17.981194202842378,-7.25640651609946,0.582861769148269,9
FactorizePhys,WATERMARKED,3,41.4404296875,5.475046293507128,44.91180837870028,22.14743202425565,68.86881098235924,13.215210414538056,-7.047275412019975,0.4085664228813038,10
FactorizePhys,WATERMARKED,4,39.814453125,5.395152968393775,43.315902774460376,19.119573825123677,67.66464390000031,11.683640482759438,-7.300963433777094,0.49892989614558286,10
FactorizePhys,WATERMARKED,5,48.427734375,8.036539198904727,54.69099633075703,28.974039462696627,80.19349494045596,16.693470664828297,-7.675455379118473,0.3553451887329504,10
FactorizePhys,WATERMARKED,6,54.4921875,9.292329590645792,61.91019617758508,32.78369575375307,94.00374064305228,20.260378305818463,-7.2028157265733554,0.427858979789645,10
RhythmFormer,ORIGINAL,1,0.263671875,0.17796495174008717,0.6214805694022391,0.5423561302602881,0.287903893951947,0.1821394142543403,8.386231146239531,0.515294703136775,10
RhythmFormer,ORIGINAL,2,6.93359375,6.331024552189429,20.219089228099943,19.627765632247954,13.949660323899675,12.878026451616416,2.846073526392868,1.6207827815565647,9
RhythmFormer,ORIGINAL,3,0.17578125,0.16676073598544186,0.5558691199514729,0.5414186053548673,0.3076923076923077,0.2919025532463119,6.244043594274877,0.9903823443854596,10
RhythmFormer,ORIGINAL,4,0.3515625,0.2901721995565871,0.9826470604247123,0.9465054606781428,0.3016202742002493,0.22977264025099126,3.451081845905288,1.296900220539437,10
RhythmFormer,ORIGINAL,5,0.17578125,0.16676073598544186,0.5558691199514729,0.5414186053548673,0.3389830508474576,0.3215875586611911,6.511432079075087,0.9916457790466728,10
RhythmFormer,ORIGINAL,6,0.52734375,0.4159743597491917,1.4171937448181045,1.3510732803784102,0.9060103442125914,0.7486125676763394,6.943896281927221,0.7313609471624392,10
RhythmFormer,WATERMARKED,1,75.9375,8.775164793374476,80.8488656553621,35.077266831146666,135.75779462602378,22.095242023968094,-8.652732763775619,0.3846198417826049,10
RhythmFormer,WATERMARKED,2,67.67578125,10.271097939405474,74.36040911483467,36.81348829217299,106.86582519297205,20.884919239928344,-8.285089385784973,0.6221520316695407,9
RhythmFormer,WATERMARKED,3,76.728515625,9.464926674826321,82.35965929758487,37.51367091607193,131.14985763990094,23.07785936424535,-7.49881013886271,0.49069815678172396,10
RhythmFormer,WATERMARKED,4,72.158203125,8.203496434113129,76.6797223239223,31.12641926824188,120.8723653784394,18.636332803266946,-7.68710611074394,0.4188655526425488,10
RhythmFormer,WATERMARKED,5,68.291015625,7.816881705812179,72.62712448610785,33.13035762324839,114.61412740697786,18.022849308332397,-6.842817919578269,0.45716323265834075,10
RhythmFormer,WATERMARKED,6,65.7421875,9.275522025087893,71.98880680817027,29.756252608901768,109.37914313962506,17.623929586674308,-7.0830480615859015,0.5120206923337837,10
